"","first_name","last_name","team","position","floor","ceiling","points_vor","adp","rank"
"1","Todd","Gurley","LAR","RB",295.026,333.423942449847,172.776991610941,1.56,1
"2","David","Johnson","ARI","RB",272.27,329.755,156.7015,3.84666666666667,2
"3","Le'Veon","Bell","PIT","RB",184.60526772645,320.9435,154.02025,2.23166666666667,3
"4","Ezekiel","Elliott","DAL","RB",258.5593,299.8855,139.504356339506,3.99,4
"5","Alvin","Kamara","NOS","RB",238.07675,291.766139792588,122.0315,6.59666666666667,5
"6","Antonio","Brown","PIT","WR",206.615,290.092636943358,115.730003099455,5.665,6
"7","Kareem","Hunt","KCC","RB",229.774,271.6212,106.7565,9.985,7
"8","Melvin","Gordon","LAC","RB",214.4935,266.70655,106.424188045019,11.3616666666667,8
"9","Saquon","Barkley","NYG","RB",222.01745,273.610685074095,106.3265,7.16166666666667,9
"10","Leonard","Fournette","JAC","RB",226.6,261.568092583324,104.2255,11.0116666666667,10
"11","DeAndre","Hopkins","HOU","WR",164.759,280.431540346815,91.0335784130393,10.5716666666667,11
"12","Rob","Gronkowski","NEP","TE",168.85,212.5745,91.032513800222,21.075,12
"13","Odell","Beckham","NYG","WR",209.77624303075,284.363756847098,90.9508390298781,11.9066666666667,13
"14","Julio","Jones","ATL","WR",218.776001896766,250.705,87.8933739158417,13.1516666666667,14
"15","Christian","McCaffrey","CAR","RB",209.2859,237.65455,82.6477191436423,17.5133333333333,15
"16","Aaron","Rodgers","GBP","QB",373.554,440.1784,82.1633333333334,26.5966666666667,16
"17","Dalvin","Cook","MIN","RB",211.9816,237.127,81.5799569174989,15.2066666666667,17
"18","Michael","Thomas","NOS","WR",210.389275362319,238.8001,77.433421007559,17.2683333333333,18
"19","Devonta","Freeman","ATL","RB",207.99883803988,231.1422,76.2375848204585,19.3583333333333,19
"20","Travis","Kelce","KCC","TE",131.038961038961,198.790909090909,74.8745179246257,28.18,20
"21","Keenan","Allen","LAC","WR",142.15,241.353081200786,72.0070567579901,18.54,21
"22","LeSean","McCoy","BUF","RB",169.08,252.8125,71.71625,28.3566666666667,22
"23","A.J.","Green","CIN","WR",192.2105,222.686596718281,64.3764829869162,21.7266666666667,23
"24","Davante","Adams","GBP","WR",197.2696,229.56204552879,64.3228828603798,20.6783333333333,24
"25","Jordan","Howard","CHI","RB",174.915,216.2077,59.1248617085346,26.1316666666667,25
"26","Joe","Mixon","CIN","RB",170.81875,221.171884712619,55.9365,29.9783333333333,26
"27","Mike","Evans","TBB","WR",183.15385,225.24325,55.5146824717007,26.31,27
"28","Zach","Ertz","PHI","TE",123.415,178.630708036301,54.231263800222,37.0883333333333,28
"29","Tyreek","Hill","KCC","WR",182.981061908674,219.500977339513,50.9659446643018,29.1466666666667,29
"30","Deshaun","Watson","HOU","QB",320.9181,405.11009,45.7533333333333,42.7883333333333,31
"31","Kenyan","Drake","MIA","RB",154.715,210.5325,45.3108546274676,37.055,32
"32","Alex","Collins","BAL","RB",166.47235,199.8764,43.4935,38.9816666666667,33
"33","Tom","Brady","NEP","QB",342.92,403.6297,43.1260333333333,41.24,34
"34","Amari","Cooper","OAK","WR",169.4244,204.246717304942,40.8822113241048,39.6816666666667,35
"35","Larry","Fitzgerald","ARI","WR",174.875,212.59402221113,40.3171846277756,38.16,36
"36","Russell","Wilson","SEA","QB",322.08,389.6865,39.9958333333333,51.3383333333333,37
"37","Stefon","Diggs","MIN","WR",176.241,213.799137826198,39.6156846277756,32.4766666666667,38
"38","Doug","Baldwin","SEA","WR",123.801,213.578,38.3248684399572,38.685,39
"39","Jimmy","Graham","GBP","TE",117.9175,196.025,37.86829018498,51.3766666666667,40
"40","Adam","Thielen","MIN","WR",158.2795,206.052,36.7999596739137,33.1383333333333,41
"41","Jamaal","Charles","FA","RB",174.8,174.8,36.7165,150.96,42
"42","Greg","Olsen","CAR","TE",121.6,161.372456313737,35.6249919570903,57.8,44
"43","T.Y.","Hilton","IND","WR",147.296,209.386682446384,35.3590001608885,32.5483333333333,45
"44","Evan","Engram","NYG","TE",131.537318611987,160.624225662253,34.2553609752558,66.12,46
"45","JuJu","Smith-Schuster","PIT","WR",165.858,208.839890323312,33.7871248515191,43.8083333333333,47
"46","Jarvis","Landry","CLE","WR",155.943,196.195693593486,33.4756320367526,46.965,48
"47","Demaryius","Thomas","DEN","WR",166.2215,199.6,32.4387443300259,46.1566666666667,49
"48","Jay","Ajayi","PHI","RB",157.4335,187.193,31.6875,46.7333333333333,50
"49","Delanie","Walker","TEN","TE",103.125,152.29,29.019263800222,73.3816666666667,52
"50","Golden","Tate","DET","WR",152.715,185.2665,28.122521813042,51.96,53
"51","Derrick","Henry","TEN","RB",151.532307310968,192.4239,27.9770851972438,42.0466666666667,54
"52","Lamar","Miller","HOU","RB",138.873090559652,180.605,27.49475,49.6666666666667,55
"53","Allen","Robinson","CHI","WR",144.524724282912,189.8725,26.2017879114524,54.3416666666667,56
"54","Royce","Freeman","DEN","RB",116.066,198.2296,25.6225151342545,47.4166666666667,57
"55","Marvin","Jones","DET","WR",103.65,191.635,23.2554676964229,61.3133333333333,58
"56","Josh","Gordon","CLE","WR",136.95,185.7635,20.6081846277756,51.805,59
"57","Kyle","Rudolph","MIN","TE",114.824,154.976388278253,20.5377227998421,74.745,60
"58","Brandin","Cooks","LAR","WR",145.394016453767,193.1575,19.1879556904227,56.7766666666667,61
"59","Chris","Johnson","FA","RB",155.5,155.5,17.4165,NA,62
"60","Cam","Newton","CAR","QB",319.3457,359.37,17.3359833333333,58.1466666666667,63
"61","Drew","Brees","NOS","QB",320.86,409.0442,17.1654333333333,63.4633333333333,64
"62","Matt","Forte","FA","RB",155.1,155.1,17.0165,NA,65
"63","Marshawn","Lynch","OAK","RB",126.2,206.765,16.47675,64.9133333333333,66
"64","Chris","Hogan","NEP","WR",134.800235077542,178.3129,14.8226680472671,62.97,67
"65","Jordan","Reed","WAS","TE",66.8,159.295,14.7882118438019,88.515,68
"66","Dion","Lewis","TEN","RB",131.3088,177.8975,14.1765,68.85,69
"67","Jack","Doyle","IND","TE",108.058522586555,135.6466,13.8145835827612,115.761666666667,70
"68","Trey","Burton","CHI","TE",101.9088,146.115242104808,13.2753474562785,89.2383333333333,71
"69","Mark","Ingram","NOS","RB",117.373,171.886993294579,12.90525,57.7533333333333,72
"70","Tevin","Coleman","ATL","RB",135.44815,176.7945,11.71050989218,78.32,73
"71","Ben","Roethlisberger","PIT","QB",295.39,349.9058,11.4995333333333,94.7916666666667,74
"72","Michael","Crabtree","BAL","WR",80.825,177.034476112732,10.0416846277756,76.7983333333333,75
"73","Pierre","Garcon","SFO","WR",143.26,182.3,10.0021846277756,96.185,76
"74","Robby","Anderson","NYJ","WR",144.3474,176.229915000296,9.50663722248413,99.4833333333333,77
"75","Carlos","Hyde","CLE","RB",128.61,176.69025,9.23045585817025,79.9833333333333,78
"76","Jacksonville","Jaguars","JAC","DST",86.885,144.195,9.12666666666667,77.1133333333333,79
"77","Andrew","Luck","IND","QB",303.29,357.223,8.77103333333332,90.2083333333333,80
"78","Devin","Funchess","CAR","WR",134.578594460521,182.8375,8.48406066083342,94.8433333333333,81
"79","Robert","Woods","LAR","WR",111.95,176.3995,7.98393462777557,88.7533333333333,82
"80","Jamaal","Williams","GBP","RB",122.918,189.9517,7.6815,89.435,83
"81","Matthew","Stafford","DET","QB",310.027,359.13,6.7745833333334,88.8983333333333,84
