shots.team,shots.player,shots.minute,shots.outcome.name,shots.type.name,shots.body.part,shots.technique
Manchester City WFC,Georgia Stanway,1,Saved,Open Play,Right Foot,Normal
Chelsea LFC,Ramona Bachmann,4,Blocked,Open Play,Head,Normal
Chelsea LFC,Bethany England,5,Off T,Open Play,Right Foot,Normal
Manchester City WFC,Melissa Lawley,18,Blocked,Open Play,Right Foot,Normal
Manchester City WFC,Jennifer Beattie,18,Saved,Open Play,Head,Normal
Chelsea LFC,Bethany England,22,Saved,Open Play,Left Foot,Normal
Manchester City WFC,Nikita Parris,24,Off T,Open Play,Left Foot,Normal
Chelsea LFC,Karen Julia Carney,33,Off T,Free Kick,Right Foot,Normal
Manchester City WFC,Melissa Lawley,35,Saved,Open Play,Right Foot,Normal
Chelsea LFC,Maren Nævdal Mjelde,35,Saved,Open Play,Right Foot,Normal
Chelsea LFC,Karen Julia Carney,39,Off T,Open Play,Right Foot,Normal
Chelsea LFC,So-yun Ji,40,Blocked,Open Play,Right Foot,Normal
Chelsea LFC,Ramona Bachmann,45,Saved,Open Play,Right Foot,Normal
Manchester City WFC,Georgia Stanway,46,Off T,Open Play,Right Foot,Normal
Manchester City WFC,Stephanie Houghton,53,Off T,Open Play,Head,Normal
Manchester City WFC,Stephanie Houghton,55,Off T,Open Play,Head,Diving Header
Manchester City WFC,Stephanie Houghton,59,Off T,Free Kick,Right Foot,Normal
Manchester City WFC,Melissa Lawley,61,Blocked,Open Play,Right Foot,Normal
Manchester City WFC,Stephanie Houghton,61,Blocked,Open Play,Head,Diving Header
Chelsea LFC,Ramona Bachmann,61,Off T,Open Play,Right Foot,Backheel
Manchester City WFC,Nikita Parris,63,Off T,Open Play,Right Foot,Half Volley
Chelsea LFC,Ramona Bachmann,65,Saved,Open Play,Left Foot,Normal
Chelsea LFC,So-yun Ji,69,Blocked,Open Play,Right Foot,Normal
Manchester City WFC,Nadia Nadim,70,Off T,Open Play,Right Foot,Normal
Chelsea LFC,Francesca Kirby,73,Off T,Open Play,Right Foot,Normal
Manchester City WFC,Jennifer Beattie,74,Wayward,Open Play,Head,Normal
Manchester City WFC,Nikita Parris,74,Blocked,Open Play,Right Foot,Normal
Manchester City WFC,Nikita Parris,74,Blocked,Open Play,Right Foot,Volley
Chelsea LFC,Drew Spence,83,Saved,Open Play,Right Foot,Normal
Chelsea LFC,Erin Cuthbert,90,Saved,Open Play,Right Foot,Normal
Chelsea LFC,Drew Spence,94,Blocked,Open Play,Right Foot,Normal
Bristol City WFC,Ella Rutherford,20,Wayward,Open Play,Right Foot,Overhead Kick
Bristol City WFC,Juliette Kemppi,25,Saved,Open Play,Left Foot,Normal
Bristol City WFC,Ella Rutherford,29,Wayward,Open Play,Left Foot,Normal
Brighton & Hove Albion WFC,Kayleigh Green,35,Saved,Open Play,Right Foot,Normal
Bristol City WFC,Lucy Graham,38,Off T,Open Play,Left Foot,Normal
Bristol City WFC,Danique Kerkdijk,47,Off T,Open Play,Right Foot,Volley
Brighton & Hove Albion WFC,Kate Natkiel,51,Blocked,Open Play,Right Foot,Normal
Brighton & Hove Albion WFC,Bethan Roe,52,Saved,Open Play,Left Foot,Normal
Brighton & Hove Albion WFC,Laura Rafferty,53,Off T,Open Play,Right Foot,Half Volley
Brighton & Hove Albion WFC,Kayleigh Green,57,Off T,Open Play,Head,Normal
Bristol City WFC,Lucy Graham,70,Goal,Open Play,Right Foot,Lob
Bristol City WFC,Carla Humphrey,77,Blocked,Open Play,Right Foot,Normal
Bristol City WFC,Lucy Graham,91,Saved,Open Play,Right Foot,Normal
Reading WFC,Fara Tanya Franki Williams Merrett,2,Off T,Open Play,Left Foot,Half Volley
Reading WFC,Gemma Suzanne Davison,4,Goal,Open Play,Right Foot,Lob
Yeovil Town LFC,Anne-Marie Heatherson,7,Saved,Open Play,Head,Normal
Reading WFC,Brooke Chaplen,9,Off T,Open Play,Head,Normal
Reading WFC,Fara Tanya Franki Williams Merrett,10,Goal,Open Play,Left Foot,Normal
Reading WFC,Brooke Chaplen,24,Off T,Open Play,Right Foot,Normal
Reading WFC,Mayumi Pacheco,26,Off T,Open Play,Left Foot,Normal
Reading WFC,Natasha Harding,28,Off T,Open Play,Right Foot,Normal
Yeovil Town LFC,Olivia Fergusson,29,Saved,Open Play,Right Foot,Normal
Yeovil Town LFC,Megan Alexander,29,Blocked,Open Play,Left Foot,Normal
Reading WFC,Brooke Chaplen,43,Off T,Open Play,Right Foot,Normal
Reading WFC,Natasha Harding,44,Blocked,Open Play,Right Foot,Normal
Reading WFC,Sophie Howard,44,Off T,Open Play,Right Foot,Volley
Reading WFC,Fara Tanya Franki Williams Merrett,47,Saved,Open Play,Right Foot,Normal
Yeovil Town LFC,Olivia Fergusson,45,Blocked,Open Play,Left Foot,Normal
Reading WFC,Lauren Bruton,46,Off T,Open Play,Right Foot,Half Volley
Reading WFC,Brooke Chaplen,49,Blocked,Open Play,Left Foot,Normal
Reading WFC,Gemma Suzanne Davison,50,Off T,Open Play,Right Foot,Normal
Reading WFC,Brooke Chaplen,56,Off T,Open Play,Right Foot,Normal
Reading WFC,Lauren Bruton,58,Goal,Penalty,Right Foot,Normal
Reading WFC,Remi Allen,60,Goal,Open Play,Head,Normal
Reading WFC,Lauren Bruton,65,Off T,Open Play,Right Foot,Normal
Reading WFC,Rachel Furness,68,Blocked,Open Play,Left Foot,Normal
Reading WFC,Gemma Suzanne Davison,70,Off T,Open Play,Right Foot,Normal
Reading WFC,Natasha Harding,72,Blocked,Open Play,Left Foot,Normal
Reading WFC,Rachel Furness,73,Off T,Open Play,Head,Normal
Reading WFC,Brooke Chaplen,76,Saved,Open Play,Left Foot,Normal
Reading WFC,Gemma Suzanne Davison,79,Post,Open Play,Right Foot,Normal
Reading WFC,Brooke Chaplen,80,Off T,Open Play,Left Foot,Normal
Reading WFC,Charlotte Estcourt,82,Off T,Open Play,Left Foot,Normal
Reading WFC,Gemma Suzanne Davison,85,Off T,Open Play,Right Foot,Normal
Reading WFC,Brooke Chaplen,87,Off T,Open Play,Right Foot,Normal
Yeovil Town LFC,Emily Syme,90,Saved,Open Play,Right Foot,Normal
Yeovil Town LFC,Olivia Fergusson,90,Off T,Open Play,Right Foot,Normal
Reading WFC,Brooke Chaplen,91,Saved,Open Play,Head,Normal
Arsenal WFC,Vivianne Miedema,5,Blocked,Open Play,Right Foot,Normal
Arsenal WFC,Vivianne Miedema,5,Goal,Open Play,Right Foot,Normal
Arsenal WFC,Lisa Evans,13,Goal,Open Play,Right Foot,Normal
Arsenal WFC,Danielle Van de Donk,19,Blocked,Open Play,Left Foot,Normal
Liverpool WFC,Laura Coombs,20,Blocked,Open Play,Left Foot,Volley
Liverpool WFC,Christie Murray,20,Blocked,Open Play,Right Foot,Normal
Arsenal WFC,Vivianne Miedema,23,Saved,Open Play,Right Foot,Normal
Arsenal WFC,Katie McCabe,24,Blocked,Open Play,Left Foot,Normal
Arsenal WFC,Louise Quinn,25,Wayward,Open Play,Head,Normal
Arsenal WFC,Louise Quinn,25,Off T,Open Play,Head,Normal
Liverpool WFC,Christie Murray,28,Saved,Open Play,Left Foot,Normal
Arsenal WFC,Kim Little,34,Goal,Open Play,Left Foot,Normal
Arsenal WFC,Vivianne Miedema,35,Blocked,Open Play,Left Foot,Normal
Arsenal WFC,Vivianne Miedema,38,Blocked,Open Play,Right Foot,Normal
Arsenal WFC,Bethany Mead,45,Post,Open Play,Right Foot,Normal
Liverpool WFC,Rinsola Babajide,48,Off T,Open Play,Left Foot,Normal
Liverpool WFC,Rinsola Babajide,54,Blocked,Open Play,Left Foot,Normal
